text,label
excellent product works perfectly,positive
very happy with my purchase,positive
great value and fast delivery,positive
love the quality and design,positive
friendly helpful support team,positive
reliable and easy to use,positive
wonderful shopping experience overall,positive
highly recommend this product,positive
delivered quickly and carefully,positive
best service received today,positive
impressive build and performance,positive
very satisfied with everything,positive
terrible product broke immediately,negative
very disappointed with purchase,negative
poor value and slow delivery,negative
hate the quality and design,negative
rude unhelpful support team,negative
unreliable and difficult to use,negative
awful shopping experience overall,negative
cannot recommend this product,negative
delivered late and damaged,negative
worst service received today,negative
weak build and performance,negative
very unhappy with everything,negative
